Date | 5/22/2019 9:38:49 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 184 level(s)...   
Date | 5/22/2019 8:01:14 AM   Msg | [ENCOUNTER] You successfully caught Machoke!   
Date | 5/22/2019 8:01:01 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 8:00:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 31sec   
Date | 5/22/2019 8:00:32 AM   Msg | [ENCOUNTER] You successfully caught Totodile!   
Date | 5/22/2019 8:00:01 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:58:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 57sec   
Date | 5/22/2019 7:58:30 AM   Msg | [ENCOUNTER] You successfully caught Volbeat!   
Date | 5/22/2019 7:57:32 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:57:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 124sec   
Date | 5/22/2019 7:57:22 AM   Msg | [ENCOUNTER] You successfully caught Barbaracle!   
Date | 5/22/2019 7:55:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:54:56 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 22sec   
Date | 5/22/2019 7:54:56 AM   Msg | [ENCOUNTER] You successfully caught Starmie!   
Date | 5/22/2019 7:54:33 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:53:28 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 122sec   
Date | 5/22/2019 7:53:28 AM   Msg | [ENCOUNTER] You successfully caught Durant!   
Date | 5/22/2019 7:51:26 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:48:59 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 14sec   
Date | 5/22/2019 7:48:59 AM   Msg | [ENCOUNTER] You successfully caught Tentacruel!   
Date | 5/22/2019 7:48:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:48:12 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 20sec   
Date | 5/22/2019 7:48:12 AM   Msg | [ENCOUNTER] You successfully caught Cubone!   
Date | 5/22/2019 7:47:52 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:45:15 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 110sec   
Date | 5/22/2019 7:45:15 AM   Msg | [ENCOUNTER] You successfully caught Fraxure!   
Date | 5/22/2019 7:43:24 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:42:19 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 16sec   
Date | 5/22/2019 7:42:19 AM   Msg | [ENCOUNTER] You successfully caught Geodude!   
Date | 5/22/2019 7:42:03 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:41:49 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 12sec   
Date | 5/22/2019 7:41:49 AM   Msg | [ENCOUNTER] You successfully caught Poliwag!   
Date | 5/22/2019 7:41:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:41:11 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 83sec   
Date | 5/22/2019 7:41:11 AM   Msg | [ENCOUNTER] You successfully caught Hippopotas!   
Date | 5/22/2019 7:39:47 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:39:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 25sec   
Date | 5/22/2019 7:39:44 AM   Msg | [ENCOUNTER] You successfully caught Goldeen!   
Date | 5/22/2019 7:39:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:35:38 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 110sec   
Date | 5/22/2019 7:35:38 AM   Msg | [ENCOUNTER] You successfully caught Litwick!   
Date | 5/22/2019 7:33:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:33:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 85sec   
Date | 5/22/2019 7:33:22 AM   Msg | [ENCOUNTER] You successfully caught Carnivine!   
Date | 5/22/2019 7:31:57 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:28:20 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 76sec   
Date | 5/22/2019 7:28:20 AM   Msg | [ENCOUNTER] You successfully caught Gible!   
Date | 5/22/2019 7:27:04 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:25:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 139sec   
Date | 5/22/2019 7:25:08 AM   Msg | [ENCOUNTER] You successfully caught Lycanroc!   
Date | 5/22/2019 7:22:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:22:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 82sec   
Date | 5/22/2019 7:22:37 AM   Msg | [ENCOUNTER] You successfully caught Hippopotas!   
Date | 5/22/2019 7:21:15 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:21:12 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 79sec   
Date | 5/22/2019 7:21:12 AM   Msg | [ENCOUNTER] You successfully caught Croagunk!   
Date | 5/22/2019 7:19:52 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:19:31 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 6sec   
Date | 5/22/2019 7:19:31 AM   Msg | [ENCOUNTER] You successfully caught Clefairy!   
Date | 5/22/2019 7:19:25 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:17:46 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 22sec   
Date | 5/22/2019 7:17:46 AM   Msg | [ENCOUNTER] You successfully caught Seaking!   
Date | 5/22/2019 7:17:24 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:17:18 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 102sec   
Date | 5/22/2019 7:17:18 AM   Msg | [ENCOUNTER] You successfully caught Scraggy!   
Date | 5/22/2019 7:15:35 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:15:20 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 82sec   
Date | 5/22/2019 7:15:20 AM   Msg | [ENCOUNTER] You successfully caught Buizel!   
Date | 5/22/2019 7:13:57 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:13:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 146sec   
Date | 5/22/2019 7:13:08 AM   Msg | [ENCOUNTER] You successfully caught Yungoos!   
Date | 5/22/2019 7:10:41 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:09:25 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 29sec   
Date | 5/22/2019 7:09:25 AM   Msg | [ENCOUNTER] You successfully caught Typhlosion!   
Date | 5/22/2019 7:08:55 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:08:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 13sec   
Date | 5/22/2019 7:08:30 AM   Msg | [ENCOUNTER] You successfully caught Abra!   
Date | 5/22/2019 7:08:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:08:02 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 106sec   
Date | 5/22/2019 7:08:02 AM   Msg | [ENCOUNTER] You successfully caught Karrablast!   
Date | 5/22/2019 7:06:16 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:03:39 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 73sec   
Date | 5/22/2019 7:03:39 AM   Msg | [ENCOUNTER] You successfully caught Prinplup!   
Date | 5/22/2019 7:02:25 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 7:01:53 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 152sec   
Date | 5/22/2019 7:01:53 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 6:59:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:59:20 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 157sec   
Date | 5/22/2019 6:59:20 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 6:56:42 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:56:41 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 157sec   
Date | 5/22/2019 6:56:41 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 6:54:03 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:53:49 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 138sec   
Date | 5/22/2019 6:53:49 AM   Msg | [ENCOUNTER] You successfully caught Tsareena!   
Date | 5/22/2019 6:51:30 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:51:05 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 106sec   
Date | 5/22/2019 6:51:05 AM   Msg | [ENCOUNTER] You successfully caught Trubbish!   
Date | 5/22/2019 6:49:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:49:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 104sec   
Date | 5/22/2019 6:49:08 AM   Msg | [ENCOUNTER] You successfully caught Scraggy!   
Date | 5/22/2019 6:47:24 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:47:09 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 48sec   
Date | 5/22/2019 6:47:09 AM   Msg | [ENCOUNTER] You successfully caught Poochyena!   
Date | 5/22/2019 6:46:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:45:59 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 39sec   
Date | 5/22/2019 6:45:59 AM   Msg | [ENCOUNTER] You successfully caught Dunsparce!   
Date | 5/22/2019 6:45:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:45:05 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 32sec   
Date | 5/22/2019 6:45:05 AM   Msg | [ENCOUNTER] You successfully caught Chinchou!   
Date | 5/22/2019 6:44:33 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:44:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 130sec   
Date | 5/22/2019 6:44:21 AM   Msg | [ENCOUNTER] You successfully caught Hawlucha!   
Date | 5/22/2019 6:42:11 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:42:02 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 86sec   
Date | 5/22/2019 6:42:02 AM   Msg | [ENCOUNTER] You successfully caught Snover!   
Date | 5/22/2019 6:40:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:38:14 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 32sec   
Date | 5/22/2019 6:38:14 AM   Msg | [ENCOUNTER] You successfully caught Noctowl!   
Date | 5/22/2019 6:37:41 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:36:45 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 126sec   
Date | 5/22/2019 6:36:45 AM   Msg | [ENCOUNTER] You successfully caught Avalugg!   
Date | 5/22/2019 6:34:38 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:30:59 AM   Msg | [ENCOUNTER] You successfully caught Poliwag!   
Date | 5/22/2019 6:30:58 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 12sec   
Date | 5/22/2019 6:30:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:30:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 33sec   
Date | 5/22/2019 6:30:21 AM   Msg | [ENCOUNTER] You successfully caught Azumarill!   
Date | 5/22/2019 6:29:47 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:29:25 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 54sec   
Date | 5/22/2019 6:29:25 AM   Msg | [ENCOUNTER] You successfully caught Lairon!   
Date | 5/22/2019 6:28:31 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:28:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 104sec   
Date | 5/22/2019 6:28:21 AM   Msg | [ENCOUNTER] You successfully caught Ducklett!   
Date | 5/22/2019 6:26:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:25:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 35sec   
Date | 5/22/2019 6:25:47 AM   Msg | [ENCOUNTER] You successfully caught Sunkern!   
Date | 5/22/2019 6:25:12 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:23:46 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 36sec   
Date | 5/22/2019 6:23:46 AM   Msg | [ENCOUNTER] You successfully caught Jumpluff!   
Date | 5/22/2019 6:23:09 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:23:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 95sec   
Date | 5/22/2019 6:23:03 AM   Msg | [ENCOUNTER] You successfully caught Duosion!   
Date | 5/22/2019 6:21:27 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:21:05 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 106sec   
Date | 5/22/2019 6:21:05 AM   Msg | [ENCOUNTER] You successfully caught Shelmet!   
Date | 5/22/2019 6:19:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:18:57 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 39sec   
Date | 5/22/2019 6:18:57 AM   Msg | [ENCOUNTER] You successfully caught Teddiursa!   
Date | 5/22/2019 6:18:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:18:10 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 34sec   
Date | 5/22/2019 6:18:10 AM   Msg | [ENCOUNTER] You successfully caught Skiploom!   
Date | 5/22/2019 6:17:35 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:15:19 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 118sec   
Date | 5/22/2019 6:15:19 AM   Msg | [ENCOUNTER] You successfully caught Slurpuff!   
Date | 5/22/2019 6:13:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:12:59 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 118sec   
Date | 5/22/2019 6:12:59 AM   Msg | [ENCOUNTER] You successfully caught Diggersby!   
Date | 5/22/2019 6:11:00 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:10:04 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 15sec   
Date | 5/22/2019 6:10:04 AM   Msg | [ENCOUNTER] You successfully caught Slowbro!   
Date | 5/22/2019 6:09:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:09:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 7sec   
Date | 5/22/2019 6:09:30 AM   Msg | [ENCOUNTER] You successfully caught Zubat!   
Date | 5/22/2019 6:09:22 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:09:01 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 107sec   
Date | 5/22/2019 6:09:01 AM   Msg | [ENCOUNTER] You successfully caught Cubchoo!   
Date | 5/22/2019 6:07:13 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:06:52 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 64sec   
Date | 5/22/2019 6:06:52 AM   Msg | [ENCOUNTER] You successfully caught Spheal!   
Date | 5/22/2019 6:05:47 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:05:28 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 11sec   
Date | 5/22/2019 6:05:28 AM   Msg | [ENCOUNTER] You successfully caught Primeape!   
Date | 5/22/2019 6:05:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:05:02 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 13sec   
Date | 5/22/2019 6:05:02 AM   Msg | [ENCOUNTER] You successfully caught Machop!   
Date | 5/22/2019 6:04:49 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 6:03:07 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 140sec   
Date | 5/22/2019 6:03:07 AM   Msg | [ENCOUNTER] You successfully caught Crabrawler!   
Date | 5/22/2019 6:00:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:59:27 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 19sec   
Date | 5/22/2019 5:59:27 AM   Msg | [ENCOUNTER] You successfully caught Cubone!   
Date | 5/22/2019 5:59:07 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:58:38 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 16sec   
Date | 5/22/2019 5:58:38 AM   Msg | [ENCOUNTER] You successfully caught Seel!   
Date | 5/22/2019 5:58:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:57:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 4sec   
Date | 5/22/2019 5:57:37 AM   Msg | [ENCOUNTER] You successfully caught Spearow!   
Date | 5/22/2019 5:57:33 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:56:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 61sec   
Date | 5/22/2019 5:56:37 AM   Msg | [ENCOUNTER] You successfully caught Tropius!   
Date | 5/22/2019 5:55:35 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:55:13 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 65sec   
Date | 5/22/2019 5:55:13 AM   Msg | [ENCOUNTER] You successfully caught Spheal!   
Date | 5/22/2019 5:54:08 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:53:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 130sec   
Date | 5/22/2019 5:53:50 AM   Msg | [ENCOUNTER] You successfully caught Clauncher!   
Date | 5/22/2019 5:51:39 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:50:58 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 19sec   
Date | 5/22/2019 5:50:58 AM   Msg | [ENCOUNTER] You successfully caught Krabby!   
Date | 5/22/2019 5:50:38 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:50:17 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 93sec   
Date | 5/22/2019 5:50:17 AM   Msg | [ENCOUNTER] You successfully caught Audino!   
Date | 5/22/2019 5:48:43 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:48:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 123sec   
Date | 5/22/2019 5:48:21 AM   Msg | [ENCOUNTER] You successfully caught Fletchling!   
Date | 5/22/2019 5:46:18 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:46:01 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 132sec   
Date | 5/22/2019 5:46:01 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 5:43:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:43:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 135sec   
Date | 5/22/2019 5:43:47 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 5:41:31 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:41:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 139sec   
Date | 5/22/2019 5:41:30 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/22/2019 5:39:10 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:39:00 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 75sec   
Date | 5/22/2019 5:39:00 AM   Msg | [ENCOUNTER] You successfully caught Shellos!   
Date | 5/22/2019 5:37:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:36:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 32sec   
Date | 5/22/2019 5:36:22 AM   Msg | [ENCOUNTER] You successfully caught Pichu!   
Date | 5/22/2019 5:35:50 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:35:24 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 18sec   
Date | 5/22/2019 5:35:24 AM   Msg | [ENCOUNTER] You successfully caught Grimer!   
Date | 5/22/2019 5:35:06 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:33:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 121sec   
Date | 5/22/2019 5:33:47 AM   Msg | [ENCOUNTER] You successfully caught Swirlix!   
Date | 5/22/2019 5:31:45 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:30:52 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 135sec   
Date | 5/22/2019 5:30:52 AM   Msg | [ENCOUNTER] You successfully caught Rockruff!   
Date | 5/22/2019 5:28:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:28:11 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 12sec   
Date | 5/22/2019 5:28:11 AM   Msg | [ENCOUNTER] You successfully caught Poliwag!   
Date | 5/22/2019 5:27:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:25:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 52sec   
Date | 5/22/2019 5:25:50 AM   Msg | [ENCOUNTER] You successfully caught Azurill!   
Date | 5/22/2019 5:24:58 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:24:51 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 92sec   
Date | 5/22/2019 5:24:51 AM   Msg | [ENCOUNTER] You successfully caught Simisage!   
Date | 5/22/2019 5:23:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:21:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 5sec   
Date | 5/22/2019 5:21:30 AM   Msg | [ENCOUNTER] You successfully caught Nidoran!   
Date | 5/22/2019 5:21:24 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:21:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 98sec   
Date | 5/22/2019 5:21:21 AM   Msg | [ENCOUNTER] You successfully caught Cinccino!   
Date | 5/22/2019 5:19:43 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:19:40 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 109sec   
Date | 5/22/2019 5:19:40 AM   Msg | [ENCOUNTER] You successfully caught Galvantula!   
Date | 5/22/2019 5:17:50 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:16:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 62sec   
Date | 5/22/2019 5:16:47 AM   Msg | [ENCOUNTER] You successfully caught Anorith!   
Date | 5/22/2019 5:15:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:15:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 56sec   
Date | 5/22/2019 5:15:37 AM   Msg | [ENCOUNTER] You successfully caught Plusle!   
Date | 5/22/2019 5:14:41 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:14:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 32sec   
Date | 5/22/2019 5:14:30 AM   Msg | [ENCOUNTER] You successfully caught Spinarak!   
Date | 5/22/2019 5:13:58 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/22/2019 5:13:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 144sec   
