Date | 6/5/2019 8:34:48 AM   Msg | [INFO] Bot stopped...   
Date | 6/5/2019 7:09:52 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:09:15 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 70sec   
Date | 6/5/2019 7:09:15 AM   Msg | [ENCOUNTER] You successfully caught Finneon!   
Date | 6/5/2019 7:08:04 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:06:53 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 30sec   
Date | 6/5/2019 7:06:53 AM   Msg | [ENCOUNTER] You successfully caught Sentret!   
Date | 6/5/2019 7:06:23 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:05:01 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 118sec   
Date | 6/5/2019 7:05:01 AM   Msg | [ENCOUNTER] You successfully caught Cutiefly!   
Date | 6/5/2019 7:03:03 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:02:33 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 45sec   
Date | 6/5/2019 7:02:33 AM   Msg | [ENCOUNTER] You successfully caught Taillow!   
Date | 6/5/2019 7:01:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:01:33 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 51sec   
Date | 6/5/2019 7:01:33 AM   Msg | [ENCOUNTER] You successfully caught Slakoth!   
Date | 6/5/2019 7:00:42 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 7:00:38 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 75sec   
Date | 6/5/2019 7:00:38 AM   Msg | [ENCOUNTER] You successfully caught Snivy!   
Date | 6/5/2019 6:59:22 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:58:49 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 72sec   
Date | 6/5/2019 6:58:49 AM   Msg | [ENCOUNTER] You successfully caught Carnivine!   
Date | 6/5/2019 6:57:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:56:49 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 50sec   
Date | 6/5/2019 6:56:49 AM   Msg | [ENCOUNTER] You successfully caught Numel!   
Date | 6/5/2019 6:55:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:55:55 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 14sec   
Date | 6/5/2019 6:55:55 AM   Msg | [ENCOUNTER] You successfully caught Slowpoke!   
Date | 6/5/2019 6:55:40 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:54:57 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 7sec   
Date | 6/5/2019 6:54:57 AM   Msg | [ENCOUNTER] You successfully caught Venonat!   
Date | 6/5/2019 6:54:49 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:54:29 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 127sec   
Date | 6/5/2019 6:54:29 AM   Msg | [ENCOUNTER] You successfully caught Sandygast!   
Date | 6/5/2019 6:52:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:51:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 72sec   
Date | 6/5/2019 6:51:50 AM   Msg | [ENCOUNTER] You successfully caught Carnivine!   
Date | 6/5/2019 6:50:38 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:50:17 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 24sec   
Date | 6/5/2019 6:50:17 AM   Msg | [ENCOUNTER] You successfully caught Eevee!   
Date | 6/5/2019 6:49:53 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:47:46 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 63sec   
Date | 6/5/2019 6:47:46 AM   Msg | [ENCOUNTER] You successfully caught Shellos!   
Date | 6/5/2019 6:46:42 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:46:33 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 49sec   
Date | 6/5/2019 6:46:33 AM   Msg | [ENCOUNTER] You successfully caught Azurill!   
Date | 6/5/2019 6:45:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:45:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 86sec   
Date | 6/5/2019 6:45:32 AM   Msg | [ENCOUNTER] You successfully caught Woobat!   
Date | 6/5/2019 6:44:06 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:43:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 64sec   
Date | 6/5/2019 6:43:32 AM   Msg | [ENCOUNTER] You successfully caught Cherrim!   
Date | 6/5/2019 6:42:27 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:41:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 84sec   
Date | 6/5/2019 6:41:08 AM   Msg | [ENCOUNTER] You successfully caught Carracosta!   
Date | 6/5/2019 6:39:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:39:04 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 24sec   
Date | 6/5/2019 6:39:04 AM   Msg | [ENCOUNTER] You successfully caught Magikarp!   
Date | 6/5/2019 6:38:39 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:37:35 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 118sec   
Date | 6/5/2019 6:37:35 AM   Msg | [ENCOUNTER] You successfully caught Ribombee!   
Date | 6/5/2019 6:35:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:34:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 17sec   
Date | 6/5/2019 6:34:03 AM   Msg | [ENCOUNTER] You successfully caught Drowzee!   
Date | 6/5/2019 6:33:45 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:33:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 91sec   
Date | 6/5/2019 6:33:22 AM   Msg | [ENCOUNTER] You successfully caught Golett!   
Date | 6/5/2019 6:31:51 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:31:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 72sec   
Date | 6/5/2019 6:31:30 AM   Msg | [ENCOUNTER] You successfully caught Electivire!   
Date | 6/5/2019 6:30:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:30:09 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 68sec   
Date | 6/5/2019 6:30:09 AM   Msg | [ENCOUNTER] You successfully caught Stunky!   
Date | 6/5/2019 6:29:00 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:28:45 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 42sec   
Date | 6/5/2019 6:28:45 AM   Msg | [ENCOUNTER] You successfully caught Poochyena!   
Date | 6/5/2019 6:28:03 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:27:42 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 95sec   
Date | 6/5/2019 6:27:42 AM   Msg | [ENCOUNTER] You successfully caught Litleo!   
Date | 6/5/2019 6:26:06 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:25:35 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 35sec   
Date | 6/5/2019 6:25:35 AM   Msg | [ENCOUNTER] You successfully caught Yanma!   
Date | 6/5/2019 6:24:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:24:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 28sec   
Date | 6/5/2019 6:24:50 AM   Msg | [ENCOUNTER] You successfully caught Mareep!   
Date | 6/5/2019 6:24:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:24:04 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 92sec   
Date | 6/5/2019 6:24:04 AM   Msg | [ENCOUNTER] You successfully caught Karrablast!   
Date | 6/5/2019 6:22:32 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:22:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 96sec   
Date | 6/5/2019 6:22:22 AM   Msg | [ENCOUNTER] You successfully caught Accelgor!   
Date | 6/5/2019 6:20:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:19:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 81sec   
Date | 6/5/2019 6:19:44 AM   Msg | [ENCOUNTER] You successfully caught Roggenrola!   
Date | 6/5/2019 6:18:23 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:17:55 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 50sec   
Date | 6/5/2019 6:17:55 AM   Msg | [ENCOUNTER] You successfully caught Skitty!   
Date | 6/5/2019 6:17:05 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:15:53 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 127sec   
Date | 6/5/2019 6:15:53 AM   Msg | [ENCOUNTER] You successfully caught Sandygast!   
Date | 6/5/2019 6:13:46 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:13:31 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 8sec   
Date | 6/5/2019 6:13:31 AM   Msg | [ENCOUNTER] You successfully caught Meowth!   
Date | 6/5/2019 6:13:23 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:13:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 50sec   
Date | 6/5/2019 6:13:08 AM   Msg | [ENCOUNTER] You successfully caught Ninjask!   
Date | 6/5/2019 6:12:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:11:43 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 54sec   
Date | 6/5/2019 6:11:43 AM   Msg | [ENCOUNTER] You successfully caught Milotic!   
Date | 6/5/2019 6:10:49 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:10:05 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 57sec   
Date | 6/5/2019 6:10:05 AM   Msg | [ENCOUNTER] You successfully caught Cacnea!   
Date | 6/5/2019 6:09:07 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:07:49 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 37sec   
Date | 6/5/2019 6:07:49 AM   Msg | [ENCOUNTER] You successfully caught Houndoom!   
Date | 6/5/2019 6:07:11 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:06:00 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 81sec   
Date | 6/5/2019 6:06:00 AM   Msg | [ENCOUNTER] You successfully caught Venipede!   
Date | 6/5/2019 6:04:39 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:04:29 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 119sec   
Date | 6/5/2019 6:04:29 AM   Msg | [ENCOUNTER] You successfully caught Yungoos!   
Date | 6/5/2019 6:02:30 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 6:01:29 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 103sec   
Date | 6/5/2019 6:01:29 AM   Msg | [ENCOUNTER] You successfully caught Swirlix!   
Date | 6/5/2019 5:59:45 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:59:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 100sec   
Date | 6/5/2019 5:59:21 AM   Msg | [ENCOUNTER] You successfully caught Skiddo!   
Date | 6/5/2019 5:57:41 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:57:17 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 77sec   
Date | 6/5/2019 5:57:17 AM   Msg | [ENCOUNTER] You successfully caught Panpour!   
Date | 6/5/2019 5:55:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:55:45 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 7sec   
Date | 6/5/2019 5:55:45 AM   Msg | [ENCOUNTER] You successfully caught Oddish!   
Date | 6/5/2019 5:55:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:54:16 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 31sec   
Date | 6/5/2019 5:54:16 AM   Msg | [ENCOUNTER] You successfully caught Marill!   
Date | 6/5/2019 5:53:44 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:53:36 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 80sec   
Date | 6/5/2019 5:53:36 AM   Msg | [ENCOUNTER] You successfully caught Cinccino!   
Date | 6/5/2019 5:52:15 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:52:00 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 47sec   
Date | 6/5/2019 5:52:00 AM   Msg | [ENCOUNTER] You successfully caught Ralts!   
Date | 6/5/2019 5:51:13 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:50:46 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 117sec   
Date | 6/5/2019 5:50:46 AM   Msg | [ENCOUNTER] You successfully caught Gumshoos!   
Date | 6/5/2019 5:48:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:48:18 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 68sec   
Date | 6/5/2019 5:48:18 AM   Msg | [ENCOUNTER] You successfully caught Croagunk!   
Date | 6/5/2019 5:47:09 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:46:54 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 3sec   
Date | 6/5/2019 5:46:54 AM   Msg | [ENCOUNTER] You successfully caught Ekans!   
Date | 6/5/2019 5:46:51 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:46:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 82sec   
Date | 6/5/2019 5:46:47 AM   Msg | [ENCOUNTER] You successfully caught Timburr!   
Date | 6/5/2019 5:45:24 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:44:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 54sec   
Date | 6/5/2019 5:44:44 AM   Msg | [ENCOUNTER] You successfully caught Crawdaunt!   
Date | 6/5/2019 5:43:49 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:43:12 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 6sec   
Date | 6/5/2019 5:43:12 AM   Msg | [ENCOUNTER] You successfully caught Golbat!   
Date | 6/5/2019 5:43:05 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:42:49 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 32sec   
Date | 6/5/2019 5:42:49 AM   Msg | [ENCOUNTER] You successfully caught Gligar!   
Date | 6/5/2019 5:42:17 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:41:09 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 68sec   
Date | 6/5/2019 5:41:09 AM   Msg | [ENCOUNTER] You successfully caught Stunky!   
Date | 6/5/2019 5:40:01 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:39:39 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 39sec   
Date | 6/5/2019 5:39:39 AM   Msg | [ENCOUNTER] You successfully caught Smoochum!   
Date | 6/5/2019 5:38:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:37:59 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 10sec   
Date | 6/5/2019 5:37:59 AM   Msg | [ENCOUNTER] You successfully caught Growlithe!   
Date | 6/5/2019 5:37:48 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:37:05 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 101sec   
Date | 6/5/2019 5:37:05 AM   Msg | [ENCOUNTER] You successfully caught Espurr!   
Date | 6/5/2019 5:35:23 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:33:51 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 87sec   
Date | 6/5/2019 5:33:51 AM   Msg | [ENCOUNTER] You successfully caught Trubbish!   
Date | 6/5/2019 5:32:24 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:32:00 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 70sec   
Date | 6/5/2019 5:32:00 AM   Msg | [ENCOUNTER] You successfully caught Mime Jr.!   
Date | 6/5/2019 5:30:49 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:30:45 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 82sec   
Date | 6/5/2019 5:30:45 AM   Msg | [ENCOUNTER] You successfully caught Garbodor!   
Date | 6/5/2019 5:29:22 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:27:50 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 4sec   
Date | 6/5/2019 5:27:50 AM   Msg | [ENCOUNTER] You successfully caught Nidoran!   
Date | 6/5/2019 5:27:45 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:25:38 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 12sec   
Date | 6/5/2019 5:25:38 AM   Msg | [ENCOUNTER] You successfully caught Bellsprout!   
Date | 6/5/2019 5:25:26 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:25:17 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 104sec   
Date | 6/5/2019 5:25:17 AM   Msg | [ENCOUNTER] You successfully caught Skrelp!   
Date | 6/5/2019 5:23:32 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:23:18 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 53sec   
Date | 6/5/2019 5:23:18 AM   Msg | [ENCOUNTER] You successfully caught Corphish!   
Date | 6/5/2019 5:22:25 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 6/5/2019 5:22:01 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 118sec   
Date | 6/5/2019 5:22:01 AM   Msg | [ENCOUNTER] You successfully caught Togedemaru!   
Date | 6/5/2019 5:20:02 AM   Msg | [ENCOUNTER] Attempting identification...   
